NavB_up.ES	MemB_up.ES	CD8T_up.ES	CD4T_up.ES	NKcell_up.ES	Monocyte_up.ES	NavB_dn.ES	MemB_dn.ES	CD8T_dn.ES	CD4T_dn.ES	NKcell_dn.ES	Monocyte_dn.ES	NavB_up.pval	MemB_up.pval	CD8T_up.pval	CD4T_up.pval	NKcell_up.pval	Monocyte_up.pval	NavB_dn.pval	MemB_dn.pval	CD8T_dn.pval	CD4T_dn.pval	NKcell_dn.pval	Monocyte_dn.pval
ACC__TCGA-OR-A5JO	1.93040763526405	2.34573233409415	1.57250287050363	-2.60539975010602	3.2723868233538	2.49816886055946	3.15713095113481	0.969955945429657	-5.83814986255339	2.64079520709823	-3.89573901781602	1.42308653420578	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JP	-8.89077080527035	-10.3905655249985	-12.0823934226203	-6.60874570359383	-11.1373300573716	-25.5422724358793	-9.28453592317054	-6.99735049310894	-7.5254786331555	-6.62173566519228	-4.60250010061541	-7.87618360260594	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JQ	0.915271892899222	1.57883952384316	-2.12474600607647	-3.17396417279987	1.07525744843731	-9.513807854214	-6.14769856228181	-2.81406633866185	-5.68737366451026	1.17937087795359	-4.41372608061411	-2.27188272619242	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JR	0.89969844248057	-3.05364955515631	-3.69034985086363	-3.56821131411078	1.20624924589417	-12.1599493616142	-5.42643388276253	-5.54137739812343	-5.34494408906303	-5.33489823436442	-5.02424864739874	-4.54597010671966	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JS	-6.30737779428789	-7.71255810363555	-7.96456291813823	-4.69453999671843	-7.71644320932774	-25.4709336892221	-7.03687730309152	-8.31949224018295	-4.93156865444337	-9.45346123079612	-4.655264462964	-4.61989250913915	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JT	-4.38883261378869	-5.80223029690678	-8.14627929034071	-4.60916719893467	-7.3898777489374	-17.8798659288629	-7.42557014988609	-8.27277615285913	-6.28662476359597	-7.07108132912904	-6.21603519933501	-6.18877744552463	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JV	1.0980322702626	-4.59846529122162	-2.6532377225127	-3.12479072458289	-3.08488372686665	1.87901742513882	-5.44456745801421	-3.02990561442313	-5.32147760027434	1.6581070416068	-4.15506330092089	-4.8813586324345	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JW	-3.34362782749531	-4.49157275581978	-10.6918652889142	-5.5469084147767	-9.09838069410075	-14.6773622981739	-6.07905613678511	-8.71619751149356	-5.76067468626499	-5.95038102889239	-4.16132178010627	-6.65563230932805	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JX	-2.83563900810341	-4.68010079508289	-8.31503090490295	-5.09256671378678	-6.5044070143643	-18.7755777618402	-9.00394743451603	-9.49883247283491	-7.31127911818286	-5.2061341005265	-6.85615994462582	-4.58032285637309	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JY	-3.3938222819756	-3.80327033049582	-8.08097753666439	-4.40399830389899	-6.01186686794399	-12.9342022741826	-8.16294423703522	-6.41189723340877	-6.50627190439554	-7.1282375426947	-4.68779438948193	-7.47184142464179	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5JZ	-2.61198924382208	-3.47334112314377	-6.08543238288717	-3.92656482025104	-3.82584692406332	-11.4600120735481	-7.39901019360052	-6.76974613038364	-6.60471055334095	-6.24080752370772	-5.20350862984346	-6.24351495201104	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5K0	-4.83025818247328	-6.42380490371907	-8.97246946567661	-5.98696257805842	-8.75248904270413	-24.8398809768528	-9.56597759117079	-10.1318589042017	-7.59651377624019	-7.49912533632579	-5.85230240445514	-6.33606192385011	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5K1	-3.5760022251452	-5.6084883271856	-5.72956511848265	-3.98875202926754	-3.73253534059179	-16.0634783552526	-6.60863410838137	-5.41964449936108	-6.2474404832807	-5.33626520727555	-5.10259505852116	-4.49653600324856	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5K2	-7.13627784030213	-7.7075987398149	-11.1799595857186	-6.09677269813819	-8.80719166294971	-14.4215081505045	-7.63821366205732	-6.09230242466521	-6.34542474275788	-4.7264357295136	-4.34294296976558	-7.51329197627225	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5K3	-3.16876627548604	-5.63231636930307	-9.27182617829303	-5.32174761072871	-7.38698412812415	-11.8764304291638	-7.12538169146824	-6.61528626885673	-5.53949641476383	-4.35427303466787	-5.50410241938486	-8.11773624014643	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5K4	-7.74119507321355	-8.9310750477737	-11.0848083504828	-6.74837074888815	-10.4074603900502	-26.9756776462186	-8.08612789086719	-9.17345175513839	-6.61923660355392	-8.458462341602	-6.10872805648875	-7.65421898732627	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5K5	-8.59908976763193	-9.41489240181124	-10.1461642899543	-6.49131540554559	-10.039010363186	-23.6685932062563	-9.68582569420327	-9.71264474460488	-8.38087250730018	-7.54185915290896	-5.08738126899736	-7.50562936078464	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5K6	-4.52348959073674	-6.3474140501038	-7.73356025181804	-5.54521402862847	-7.03839918088299	-15.6637976302553	-7.99108211969682	-8.17704970028971	-6.19280482502399	-5.25389189561188	-5.59546448317265	-6.08196270262755	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5K8	-6.58621205829055	-8.00498708149486	-9.12424824522907	-5.45733226738458	-7.28034736491392	-18.9480516711694	-7.61408602368135	-7.24173329215579	-6.88755548127648	-5.94951115402486	-5.89546729450657	-5.79354089381775	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5K9	-7.82204277773493	-8.20735119455157	-11.4415953603964	-6.78743358956038	-11.7169662668933	-22.929709132036	-9.13025022891774	-9.10753700341682	-6.21718804328087	-7.54821632195217	-3.53497697243605	-9.21306692687742	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5KO	-9.09209130533758	-10.3088276903124	-12.5675024566564	-7.54151758281313	-11.8619880389989	-29.5491989799828	-6.46607662930812	-9.21656727126343	-5.14290759294438	-8.96189714908129	-4.56230977809235	-8.1231728583394	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5KT	1.1916486245375	-2.8784481770503	-3.48785827496802	-3.3370247683483	-3.96452384860162	-10.1591478560378	-8.35315726888076	-4.72221297743453	-5.92283354390505	1.72619285209466	-2.81789538490988	-2.05017790066714	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5KU	-6.96566573766916	-8.47583401481958	-9.49305752815712	-5.87476122393082	-9.75180391815014	-27.3459558353326	-9.31631930393987	-10.5518623807875	-8.52895287046502	-8.88764899622202	-6.48988733567216	-6.78622319080724	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5KV	-11.3231132828524	-11.8209735773188	-12.7734872175064	-7.98306293355445	-13.4571332990192	-34.7921427784408	-13.207104409672	-13.5622636140866	-10.6094475095812	-8.77316319523089	-7.78095737473471	-6.99954059539697	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5KW	-8.34572656477419	-9.33504235173246	-12.547777963017	-7.21038244579047	-11.9719378989511	-25.5714147079547	-9.60916934580614	-9.87314476288735	-7.26893340934899	-7.74091234688359	-6.00570013285231	-8.81115942672101	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5KX	-6.51127584081525	-7.96956761036926	-10.0579577251699	-5.66027669870729	-8.50553713499083	-21.3813557410525	-9.40775000910967	-10.0772458592363	-7.23117133600686	-6.23335656648019	-5.79197405413165	-7.29903383961715	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5KY	-7.9275607152892	-9.19630957730118	-11.811322540416	-6.72575892129814	-9.70888396329331	-16.5360931307101	-7.44813632490776	-5.27936697894686	-7.01732107116185	-4.31274962855598	-4.24193431206104	-8.21539879119149	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5KZ	-7.23301133182936	-8.09268886408349	-8.96329481902469	-5.59426970641505	-8.16244571529307	-19.5829968136187	-6.36038063578071	-5.30521292010437	-4.14571428584229	-7.13124813709582	-3.03445708222593	-8.22013999599073	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5L3	-5.60960301672162	-6.37204907971145	-8.47482138824011	-5.12711064347952	-7.16537024151157	-21.2632453823046	-8.68938974266629	-10.6914454825181	-7.60295625391519	-6.45618146910137	-6.39925460610597	-4.72134298966239	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5L4	-5.5183342362899	-6.36809194990285	-10.0063104650839	-6.05891769729588	-7.38529677609445	-14.4514384324804	-7.0137071387204	-6.92902278677062	-5.26296633427857	-6.03368170044656	-3.87951515738439	-7.64225071838515	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5L5	1.01368783176441	1.61604676457119	-2.620216575456	-3.51918561794973	-3.02927426530957	-11.5333961592649	-8.7377972896466	-7.55294184416439	-7.93603880172167	1.07091738356114	-6.37230175738001	-2.35791448327799	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5L6	-4.91834762235314	-5.98639016037085	-7.03285185067826	-4.28891763444304	-4.13678341130982	-13.9732326214712	-7.80316561827418	-5.37744274438569	-5.80400211000353	-5.51108958841137	-4.62782600166115	-5.74842691708127	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5L8	-8.07181565435056	-8.88192161637944	-9.69061106891894	-5.82107601339793	-10.0335400541217	-32.3403290845942	-8.46416217993874	-10.5188713436937	-8.38846324654411	-9.3242244660833	-5.975648719971	-4.51112277182546	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5L9	-2.91424106010579	-3.87391034315412	-2.27442168491598	-3.64135436294006	-2.34151775271581	-11.2417472344585	-7.2748556198076	-4.23687198411987	-6.68602584404455	1.31116339067481	-5.50317408469748	-1.66524965714108	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5LA	1.1656002484001	1.43354022705159	-2.94619782840913	-3.83749617463196	-4.70997862915849	-9.55456753373579	-7.36784090087974	-5.0328989524045	-6.5356030662743	0.987531056082964	-5.91879342415349	-1.97565582847746	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5LB	-8.05902279345917	-8.38118608916722	-12.310660640498	-6.59253984394326	-12.2162628543633	-25.8913761812875	-8.1556237032605	-9.33353174363543	-6.42328408134338	-9.50124407492937	-5.60110785162191	-7.54115771482109	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5LC	-7.50670122775257	-9.11159393664558	-12.608644026905	-7.03687814574463	-10.5013887751265	-21.483164459539	-8.61707218435115	-7.77227303404811	-5.80495216138262	-4.9955508043568	-4.04326248098685	-9.01011532110181	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5LD	-8.45665089744441	-9.03378764481996	-10.6528710091533	-5.53225683826745	-10.1727333541034	-27.2537109325604	-9.58415268129071	-8.28355465777326	-7.07705222810447	-5.84328186731057	-4.99857461268977	-5.83512701218517	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5LE	-7.43373480458724	-8.90905277875119	-12.8425942971689	-6.96132129810692	-12.5071441237246	-25.837347757553	-9.44089619473645	-10.9491571291245	-6.91845546563723	-8.65158383067718	-4.55911571744691	-7.99896237735454	0	0	0	0	0	0	0	0	0	0	0	0
